gene,SHAP_LR,SHAP_LGBM,SHAP_XGB,auc_weighted_score
ENSG00000222032,0.10660327837215532,0.1184357936698177,0.11581017,0.2449137016507788
ENSG00000226777,0.1663219373345136,0.014884355258452423,0.04956096,0.23815872661693666
ENSG00000178104,0.09751459073589443,0.12027486075222352,0.120362155,0.23754417192219004
ENSG00000151748,0.0,0.3061096855973077,0.2025363,0.2373941487283615
ENSG00000205593,0.16461884041956096,0.07026384798174522,0.019500518,0.23558274122754094
ENSG00000169877,0.15452775948213074,0.07782334636555384,0.03308897,0.23486206410866792
ENSG00000186314,0.12690139014861043,0.12179537480802764,0.06089364,0.23478052520809048
ENSG00000115419,0.07666017568751309,0.15921014305753622,0.13170356,0.23317264710293858
ENSG00000108100,0.03881626811087476,0.22922062926124048,0.15845859,0.22904147175376477
ENSG00000185515,0.07711581472792832,0.212063041336657,0.0963136,0.2288589207669675
ENSG00000087077,0.17077830892025359,0.021747194922615398,0.017074807,0.224729732124666
ENSG00000132953,0.0,0.2590166210951746,0.2022642,0.22100087715940195
ENSG00000172757,0.026273458212656812,0.3163782030674288,0.12098843,0.21949657846125223
ENSG00000111196,0.10210723341779765,0.08666076555804215,0.10057996,0.2186207968817201
ENSG00000110172,0.0646828110393867,0.16745497219876176,0.12360442,0.21627800802215202
ENSG00000115415,0.11247008299376447,0.15500690615280427,0.029662384,0.20844646141886963
ENSG00000166483,0.07751879050490199,0.12914971117567423,0.105377376,0.20670171260737794
ENSG00000149243,0.09058632660695325,0.05567128844634203,0.099789254,0.19352994287214975
ENSG00000196865,0.06732954310101619,0.07426812274680546,0.13247651,0.19316633064653682
ENSG00000173218,0.13263765323556273,0.029370378735056553,0.034626123,0.19276019120748145
ENSG00000119514,0.1036982363488757,0.03384337874735779,0.079677105,0.18873196791328314
ENSG00000170323,0.11325316025313178,0.05418896360360475,0.050446343,0.1882205658596835
ENSG00000153064,0.11400227548963883,0.06817782124680144,0.034704246,0.18368277304543765
ENSG00000175063,0.10238510783206052,0.07483300828761978,0.05163825,0.1829890852839247
